Period,Index Futures - Contracts,Index Futures - Turnover (Rs cr),Stock Futures - Contracts,Stock Futures - Turnover (Rs cr),Index Options - Contracts,Index Options - Notional Turnover (Rs cr),Index Options - Premium Turnover (Rs cr),Stock Options - Contracts,Stock Options - Notional Turnover (Rs cr),Stock Options - Premium Turnover (Rs cr),F&O Total - Contracts,F&O Total - Turnover (Rs cr),Total Premium Turnover (Rs cr),Avg Daily Turnover (Rs cr),Volume_Futures_QTY,Volume_Futures_VAL
2026-2027,10425350,1659533.54,137101417,8927278.09,11552414857,1802099813.07,4046319.71,538110167,36593239.82,595002.23,12238051791,1849279864.52,15228133.57,24657064.860266667,0,0
2025-2026,41056558,7346232.72,482481566,32036240.92,34686857259,6257395821.57,12465362.37,1753963791,122236192.14,1777090.91,36964359174,6419014487.35,53624926.92,25987912.9042915,0,0
2024-2025,117228003,8752089.23,518840763,37537369.61,100909131355,7658554953.47,13574523.61,1748183790,131117327.53,1975192.65,103293383911,7835961739.84,61839175.1,31664887.441445783,0,0
2023-2024,85826189,7417117.17,325400128,25546966.58,93652071252,7867691277.78,13819563.61,1137647324,92111790.9,1378030.78,95200944893,7992767152.43,48161678.14,32476926.830121953,0,0
2022-2023,104737382,9520684.71,284126341,19072304.37,40541932269,3734525735.12,10955555.56,834973590,59207744.62,932700.58,41765769582,3822326468.82,40481245.22,15350546.257630521,0,0
2021-2022,93662982,8429378.27,265609687,21038937.56,17623355691,1609497197.31,5842329.82,677512461,56267621.33,1038830.27,18660140821,1695233134.47,36349475.92,6835617.477701613,0,0
2020-2021,127599626,9047645.65,252830922,18098365.39,7824035680,590099062.75,2629426.05,330394648,26373034.47,579351.62,8534860876,643618108.26,30354788.71,2584811.6797590363,0,0
2019-2020,94472538,6677312.04,256643910,14874729.26,4576370297,310691969.3,1076508.43,197835132,12288881.21,228353.15,5125321877,344532891.81,22856902.88,1394870.0073279352,0,0
2018-2019,69824522,5568914.47,255533869,16147010.86,2652457487,203302404.91,654099.95,186986542,12582374.84,200010.31,3164802420,237600705.08,22570035.59,958028.119717742,0,0
2017-2018,57674584,4810454.34,214758366,15597519.71,1515034222,134921876.45,460653.71,126411376,9655008.56,148217.5,1913878548,164984859.06,21016845.26,670670.1587398374,,
2016-2017,66535070,4335940.78,173860130,11129587.14,1067244916,72797287.69,350021.53,92106012,6107485.87,95570.09,1399746128,94370301.48,15911119.54,380525.40971774195,,
2015-2016,140538674,4557113.64,234243967,7828606,1623528486,48951930.6,353098.35,100299174,3488173.75,61393.66,2098610301,64825823.99,12800211.65,262452.77044534415,,
